SMILES,Title,pIC50,dpIC50,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_STDERR,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_LOW,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_HIGH
CN1CC(C1)(CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl)C#N,ALP-POS-07e1ed01-2,6.82102305270683,0.011515271713847586,-9.313649698077972,0.015723331543118297,-9.345929775565098,-9.283036449392624
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCOCC5,EDJ-MED-1981ceba-1,6.860120913598763,0.01661449860975006,-9.367035206011,0.02268598401804381,-9.416293699039278,-9.325549762967102
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCC5,EDJ-MED-1981ceba-2,6.610833915635467,0.040948918286431546,-9.0266505224562,0.055913002710597154,-9.138165495737443,-8.914513484895053
COC1CN(C1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,EDJ-MED-1981ceba-3,7.094204119632131,0.013471235605781562,-9.686660130945482,0.01839406911001936,-9.723117192166285,-9.649540915726208
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CC(C5)C#N,EDJ-MED-1981ceba-4,7.108462542327436,0.016435522123060764,-9.706129051253338,0.022441603624027202,-9.751188694091246,-9.661422279595136
CN1CCN(CC1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,EDJ-MED-1981ceba-5,6.935542010773082,0.011241786379130758,-9.470017657983147,0.015349905652979527,-9.501511784394319,-9.4401121617824
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CCOCC5,EDJ-MED-4fff0a85-1,6.818156412055227,0.02791920148511573,-9.30973549244738,0.03812179792871935,-9.388919608273723,-9.236432416558845
CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,EDJ-MED-4fff0a85-3,7.196542884351586,0.02197620361312036,-9.826396853393998,0.030007032752222485,-9.886188167261862,-9.766160036252971
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CS(=O)(=O)C5,EDJ-MED-4fff0a85-4,6.701146923590294,0.08604672817353287,-9.149966880247598,0.11749103876081952,-9.384477639938332,-8.914513484895053
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CC5,EDJ-MED-76744c27-3,6.774690718274137,0.0070904109696603435,-9.250386001523088,0.009681480838951229,-9.268302772230811,-9.229576848875007
CC(C)CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-76744c27-5,6.97061622231479,0.02241790102103436,-9.51790914247331,0.03061014095139908,-9.57731697369968,-9.454876409894085
CC(C)(CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl)OC,EDJ-MED-76744c27-7,6.698970004336019,0.01900135096854383,-9.146994442946236,0.025945070899741775,-9.199671352674258,-9.095891069075291
CS(=O)(=O)N1Cc2ccc(cc2[C@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-24589f88-2,4.910094888560602,0.016736697407653267,-6.70440539828244,0.022852838284391,-6.749465041120348,-6.658053687982783
CS(=O)(=O)N1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-24589f88-3,6.85078088734462,0.008444606594489645,-9.35428202631497,0.011530544179577945,-9.375692294067743,-9.32957011734943
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CNCc4c3cc(cc4)Cl,MAT-POS-3ccb8ef6-1,6.540607512240769,0.011677734141999352,-8.930761076588606,0.015945163097301984,-8.962479866764541,-8.898699214375332
c1ccc2c(c1)cncc2NC(=O)[C@H]3CNCc4c3cc(cc4)Cl,MAT-POS-3ccb8ef6-2,4.481486060122113,0.024006450673838442,-6.119168776923193,0.03277919900616542,-6.18565433470877,-6.054537538684109
CNS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-4223bc15-1,6.826813731587726,0.013132262819046003,-9.321556481883565,0.017931224494418266,-9.358502684701904,-9.286777786724231
CC1CCN(C1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-4223bc15-11,7.09366495819491,0.0068680731033559095,-9.68592394214826,0.009377893388010738,-9.704608537599757,-9.667096964047715
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCC5)C#N,MAT-POS-4223bc15-12,7.058488567365597,0.008939104036074674,-9.637892938690959,0.012205747285025752,-9.662128652519637,-9.613305663379535
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CNC5,MAT-POS-4223bc15-14,6.8696662315049934,0.016860710694095227,-9.380068697695233,0.023022170113194813,-9.425706595088958,-9.333617914636179
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5CNC5,MAT-POS-4223bc15-15,6.562249437179612,0.013068320755669216,-8.960311674221096,0.01784391589354389,-8.995991607450703,-8.924615943876528
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)N5CCCC5CO,MAT-POS-4223bc15-16,5.943095148663527,0.025722148966306646,-8.114898001265816,0.035121870004366805,-8.186697214676887,-8.046209734659419
CN(C)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-4223bc15-2,6.806875401645539,0.1562800939085749,-9.294332029010247,0.2133899912373973,-9.719992020242712,-8.866432055293123
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)C5CC5,MAT-POS-4223bc15-3,6.508638306165727,0.014685021451270153,-8.88710926890406,0.020051412310007517,-8.926657253981775,-8.846451604741745
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)c5[nH]ccn5,MAT-POS-4223bc15-30,6.663540266151471,0.013495453116561418,-9.09861751065973,0.01842713649745085,-9.135251484959602,-9.061542938969799
Cn1ncc(n1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-4223bc15-31,6.5718652059712115,0.029480629516760892,-8.973441361866284,0.04025382322802271,-9.053891219902106,-8.892875926990014
COCCS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-4223bc15-4,6.669586226650809,0.01923994651341654,-9.106872864401264,0.02627085712085484,-9.158974648385525,-9.053891219902106
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CCO,MAT-POS-4223bc15-5,6.634512015109101,0.013998796805402725,-9.058981379911101,0.01911441856047598,-9.095891069075291,-9.019433394833388
CCS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-4223bc15-6,6.616184634019569,0.027342739845412467,-9.033956569698308,0.03733467820560901,-9.109650387043532,-8.960311674221096
